warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-B002,中温肉类冷库,中温库,2026-05-01 00:00:00,1.2,-15.1,30.3,0,2,0,24738.0,102740.19
WH-B002,中温肉类冷库,中温库,2026-05-01 01:00:00,104.28,-16.03,32.7,1,6,0,24928.0,102844.51
WH-B002,中温肉类冷库,中温库,2026-05-01 02:00:00,1.8,-15.18,31.4,0,3,0,24777.0,102846.4
WH-B002,中温肉类冷库,中温库,2026-05-01 03:00:00,112.42,-16.0,32.2,1,5,0,24895.0,102958.82
WH-B002,中温肉类冷库,中温库,2026-05-01 04:00:00,22.63,-12.54,30.9,0,6,1,24914.0,102981.55
WH-B002,中温肉类冷库,中温库,2026-05-01 05:00:00,108.12,-13.62,31.9,1,1,0,24721.0,103089.57
WH-B002,中温肉类冷库,中温库,2026-05-01 06:00:00,109.67,-14.37,30.6,1,6,0,24722.0,103199.26
WH-B002,中温肉类冷库,中温库,2026-05-01 07:00:00,3.6,-13.01,27.3,0,6,0,24700.0,103202.94
WH-B002,中温肉类冷库,中温库,2026-05-01 09:00:00,3.6,-12.55,24.2,0,6,0,24832.0,103291.99
WH-B002,中温肉类冷库,中温库,2026-05-01 10:00:00,102.15,-12.7,21.7,1,7,0,24888.0,103394.08
WH-B002,中温肉类冷库,中温库,2026-05-01 11:00:00,91.94,-13.86,20.7,1,1,0,24911.0,103486.0
WH-B002,中温肉类冷库,中温库,2026-05-01 12:00:00,97.42,-12.36,21.1,1,3,1,24913.0,103583.5
WH-B002,中温肉类冷库,中温库,2026-05-01 13:00:00,96.02,-12.79,20.6,1,9,0,25129.0,103679.54
WH-B002,中温肉类冷库,中温库,2026-05-01 14:00:00,2.4,-12.15,20.6,0,4,0,24974.0,103681.94
WH-B002,中温肉类冷库,中温库,2026-05-01 15:00:00,87.48,-12.63,20.6,1,7,0,25152.0,103769.36
WH-B002,中温肉类冷库,中温库,2026-05-01 16:00:00,1.8,-12.13,20.6,0,3,0,25152.0,103771.16
WH-B002,中温肉类冷库,中温库,2026-05-01 17:00:00,101.18,-11.18,22.2,1,27,0,-100.0,103872.37
WH-B002,中温肉类冷库,中温库,2026-05-01 18:00:00,104.62,-12.31,22.6,1,1,0,25290.0,103977.08
WH-B002,中温肉类冷库,中温库,2026-05-01 19:00:00,11.4,-10.27,24.4,0,19,0,25542.0,103988.45
WH-B002,中温肉类冷库,中温库,2026-05-01 20:00:00,17.95,-10.0,25.7,0,1,1,25464.0,104006.32
WH-B002,中温肉类冷库,中温库,2026-05-01 21:00:00,100.66,-10.82,27.4,1,1,0,25386.0,104106.92
WH-B002,中温肉类冷库,中温库,2026-05-01 23:00:00,98.59,-11.34,31.0,1,1,0,25232.0,104206.77
WH-B002,中温肉类冷库,中温库,2026-05-02 00:00:00,1.8,-10.71,29.6,0,3,0,25339.0,104208.52
WH-B002,中温肉类冷库,中温库,2026-05-02 01:00:00,100.59,-11.62,32.4,1,6,0,25341.0,104309.03
WH-B002,中温肉类冷库,中温库,2026-05-02 02:00:00,0.6,-10.86,31.7,0,1,0,25423.0,104309.67
WH-B002,中温肉类冷库,中温库,2026-05-02 03:00:00,104.04,-12.3,32.3,1,1,0,25661.0,104413.67
WH-B002,中温肉类冷库,中温库,2026-05-02 04:00:00,116.66,-10.0,32.5,1,16,1,25673.0,104530.39
WH-B002,中温肉类冷库,中温库,2026-05-02 05:00:00,1.2,-10.0,29.2,0,2,0,25650.0,104531.68
WH-B002,中温肉类冷库,中温库,2026-05-02 06:00:00,0.6,-10.0,28.9,0,1,0,25832.0,104532.21
WH-B002,中温肉类冷库,中温库,2026-05-02 07:00:00,91.01,-10.69,27.5,1,5,0,25681.0,104623.26
WH-B002,中温肉类冷库,中温库,2026-05-02 08:00:00,89.55,-11.65,26.7,1,9,0,25631.0,104715.37
WH-B002,中温肉类冷库,中温库,2026-05-02 08:00:00,92.08,-11.65,26.7,1,9,0,25631.0,104715.37
WH-B002,中温肉类冷库,中温库,2026-05-02 09:00:00,110.48,-12.15,24.6,1,7,0,25683.0,104825.95
WH-B002,中温肉类冷库,中温库,2026-05-02 10:00:00,2.4,-11.13,24.0,0,4,0,25555.0,104828.29
WH-B002,中温肉类冷库,中温库,2026-05-02 11:00:00,83.85,-11.87,22.7,1,4,0,25341.0,104912.16
WH-B002,中温肉类冷库,中温库,2026-05-02 12:00:00,116.33,-10.0,20.4,1,6,1,25332.0,105028.5
WH-B002,中温肉类冷库,中温库,2026-05-02 13:00:00,104.38,-10.0,19.8,1,14,0,25251.0,105132.91
WH-B002,中温肉类冷库,中温库,2026-05-02 14:00:00,93.61,-10.24,19.1,1,9,0,25120.0,105226.58
WH-B002,中温肉类冷库,中温库,2026-05-02 15:00:00,5.4,-10.0,19.3,0,9,0,25200.0,105232.05
WH-B002,中温肉类冷库,中温库,2026-05-02 16:00:00,98.46,-10.54,19.4,1,4,0,25119.0,105330.59
WH-B002,中温肉类冷库,中温库,2026-05-02 17:00:00,87.54,-11.0,21.0,1,7,0,25063.0,105418.03
WH-B002,中温肉类冷库,中温库,2026-05-02 18:00:00,4.2,-10.0,23.6,0,7,0,25033.0,105422.21
WH-B002,中温肉类冷库,中温库,2026-05-02 19:00:00,98.51,-10.47,25.6,1,6,0,25242.0,105520.63
WH-B002,中温肉类冷库,中温库,2026-05-02 20:00:00,116.54,-10.0,26.1,1,2,1,25145.0,105637.18
WH-B002,中温肉类冷库,中温库,2026-05-02 21:00:00,106.65,-10.49,28.0,1,5,0,25195.0,105743.82
WH-B002,中温肉类冷库,中温库,2026-05-02 22:00:00,92.58,-11.14,29.5,1,4,0,25014.0,105836.44
WH-B002,中温肉类冷库,中温库,2026-05-02 23:00:00,87.0,-11.95,29.4,1,4,0,24968.0,105923.53
WH-B002,中温肉类冷库,中温库,2026-05-03 00:00:00,97.09,-12.56,32.8,1,6,0,25342.0,106020.63
WH-B002,中温肉类冷库,中温库,2026-05-03 01:00:00,1.8,-11.48,31.6,0,3,0,25406.0,106022.35
WH-B002,中温肉类冷库,中温库,2026-05-03 02:00:00,111.97,-12.47,31.7,1,2,0,25621.0,106134.32
WH-B002,中温肉类冷库,中温库,2026-05-03 03:00:00,3.0,-11.32,32.2,0,5,0,25701.0,106137.26
WH-B002,中温肉类冷库,中温库,2026-05-03 04:00:00,124.26,-10.0,31.9,1,2,1,25627.0,106261.47
WH-B002,中温肉类冷库,中温库,2026-05-03 05:00:00,102.99,-10.7,29.4,1,4,0,25680.0,106364.49
WH-B002,中温肉类冷库,中温库,2026-05-03 06:00:00,1.2,-10.0,29.4,0,2,0,25881.0,106365.71
WH-B002,中温肉类冷库,中温库,2026-05-03 07:00:00,97.96,-11.17,28.1,1,1,0,25750.0,106463.65
WH-B002,中温肉类冷库,中温库,2026-05-03 08:00:00,113.92,-11.67,26.6,1,9,0,25852.0,106577.52
WH-B002,中温肉类冷库,中温库,2026-05-03 09:00:00,3.6,-10.7,24.4,0,6,0,25669.0,106581.14
WH-B002,中温肉类冷库,中温库,2026-05-03 10:00:00,1.8,-10.0,23.7,0,3,0,25738.0,106582.87
WH-B002,中温肉类冷库,中温库,2026-05-03 11:00:00,4.2,-10.0,21.8,0,7,0,25739.0,106587.05
WH-B002,中温肉类冷库,中温库,2026-05-03 12:00:00,115.46,-10.0,21.4,1,7,1,25790.0,106702.59
WH-B002,中温肉类冷库,中温库,2026-05-03 13:00:00,4.2,-10.0,19.8,0,7,0,25531.0,106706.79
WH-B002,中温肉类冷库,中温库,2026-05-03 14:00:00,94.71,-10.88,19.6,1,1,0,25428.0,106801.5
WH-B002,中温肉类冷库,中温库,2026-05-03 15:00:00,4.2,-10.0,19.9,0,7,0,25555.0,106805.7
WH-B002,中温肉类冷库,中温库,2026-05-03 16:00:00,99.01,-10.15,21.4,1,9,0,25391.0,106904.69
WH-B002,中温肉类冷库,中温库,2026-05-03 17:00:00,0.6,-10.0,22.0,0,1,0,25347.0,106905.27
WH-B002,中温肉类冷库,中温库,2026-05-03 18:00:00,78.73,-11.24,21.6,1,1,0,25396.0,106984.03
WH-B002,中温肉类冷库,中温库,2026-05-03 19:00:00,1.8,-10.23,23.4,0,3,0,25213.0,106985.85
WH-B002,中温肉类冷库,中温库,2026-05-03 20:00:00,121.85,-10.0,25.5,1,5,1,25397.0,107107.68
WH-B002,中温肉类冷库,中温库,2026-05-03 21:00:00,1.8,-10.0,26.2,0,3,0,25263.0,107109.58
WH-B002,中温肉类冷库,中温库,2026-05-03 22:00:00,104.58,-10.82,28.9,1,4,0,25197.0,107214.21
WH-B002,中温肉类冷库,中温库,2026-05-03 23:00:00,1.2,-10.0,30.6,0,2,0,25332.0,107215.47
WH-B002,中温肉类冷库,中温库,2026-05-04 00:00:00,3.6,-10.0,30.9,0,6,0,25172.0,107219.16
WH-B002,中温肉类冷库,中温库,2026-05-04 01:00:00,88.84,-11.23,32.0,1,2,0,25057.0,107307.95
WH-B002,中温肉类冷库,中温库,2026-05-04 02:00:00,3.6,-10.07,32.3,0,6,0,25051.0,107311.58
WH-B002,中温肉类冷库,中温库,2026-05-04 03:00:00,92.68,-11.05,31.2,1,5,0,25023.0,107404.26
WH-B002,中温肉类冷库,中温库,2026-05-04 04:00:00,123.96,-10.0,31.9,1,5,1,25148.0,107528.16
WH-B002,中温肉类冷库,中温库,2026-05-04 05:00:00,1.2,-10.0,29.5,0,2,0,24968.0,107529.28
WH-B002,中温肉类冷库,中温库,2026-05-04 06:00:00,101.64,-10.88,28.9,1,6,0,24794.0,107630.97
WH-B002,中温肉类冷库,中温库,2026-05-04 07:00:00,1.8,-10.03,26.7,0,3,0,24819.0,107632.78
WH-B002,中温肉类冷库,中温库,2026-05-04 08:00:00,108.73,-11.05,25.4,1,3,0,24840.0,107741.53
WH-B002,中温肉类冷库,中温库,2026-05-04 09:00:00,0.6,-10.14,24.2,0,1,0,25041.0,107742.1
WH-B002,中温肉类冷库,中温库,2026-05-04 10:00:00,96.47,-10.78,22.0,1,4,0,25140.0,107838.61
WH-B002,中温肉类冷库,中温库,2026-05-04 11:00:00,91.72,-11.34,20.8,1,3,0,25239.0,107930.32
WH-B002,中温肉类冷库,中温库,2026-05-04 12:00:00,19.64,-10.0,19.9,0,1,1,25129.0,107949.9
WH-B002,中温肉类冷库,中温库,2026-05-04 13:00:00,80.98,-10.56,20.4,1,6,0,25195.0,108030.95
WH-B002,中温肉类冷库,中温库,2026-05-04 14:00:00,97.52,-10.74,20.3,1,9,0,25036.0,108128.4
WH-B002,中温肉类冷库,中温库,2026-05-04 15:00:00,105.46,-11.54,21.1,1,4,0,25008.0,108233.8
WH-B002,中温肉类冷库,中温库,2026-05-04 16:00:00,1.8,-10.68,19.6,0,3,0,25070.0,108235.54
WH-B002,中温肉类冷库,中温库,2026-05-04 17:00:00,81.96,-11.62,21.7,1,3,0,25205.0,108317.59
WH-B002,中温肉类冷库,中温库,2026-05-04 18:00:00,4.2,-10.51,23.5,0,7,0,25082.0,108321.77
WH-B002,中温肉类冷库,中温库,2026-05-04 19:00:00,110.48,-11.32,24.3,1,5,0,25109.0,108432.33
WH-B002,中温肉类冷库,中温库,2026-05-04 20:00:00,20.72,-10.0,25.9,0,5,1,25209.0,108453.14
WH-B002,中温肉类冷库,中温库,2026-05-04 21:00:00,88.17,-10.4,26.3,1,6,0,25418.0,108541.31
WH-B002,中温肉类冷库,中温库,2026-05-04 22:00:00,3.6,-10.0,28.0,0,6,0,25501.0,108544.88
WH-B002,中温肉类冷库,中温库,2026-05-04 23:00:00,115.39,-10.83,30.5,1,5,0,25537.0,108660.24
WH-B002,中温肉类冷库,中温库,2026-05-05 00:00:00,2.4,-10.05,30.6,0,4,0,25454.0,108662.71
WH-B002,中温肉类冷库,中温库,2026-05-05 01:00:00,109.84,-11.23,31.1,1,2,0,25446.0,108772.59
WH-B002,中温肉类冷库,中温库,2026-05-05 02:00:00,109.98,-12.23,32.5,1,4,0,25624.0,108882.57
WH-B002,中温肉类冷库,中温库,2026-05-05 03:00:00,1.2,-11.31,32.0,0,2,0,25684.0,108883.77
WH-B002,中温肉类冷库,中温库,2026-05-05 04:00:00,18.17,-10.0,31.3,0,3,1,25773.0,108901.86
WH-B002,中温肉类冷库,中温库,2026-05-05 04:00:00,18.98,-10.0,31.3,0,3,1,25773.0,108901.86
WH-B002,中温肉类冷库,中温库,2026-05-05 05:00:00,107.42,-10.68,29.3,1,4,0,25877.0,109009.23
WH-B002,中温肉类冷库,中温库,2026-05-05 06:00:00,1.8,-10.0,28.4,0,3,0,25882.0,109011.0
WH-B002,中温肉类冷库,中温库,2026-05-05 07:00:00,89.92,-10.29,27.4,1,5,0,26011.0,109100.98
WH-B002,中温肉类冷库,中温库,2026-05-05 08:00:00,3.6,-10.0,25.4,0,6,0,25845.0,109104.49
WH-B002,中温肉类冷库,中温库,2026-05-05 09:00:00,108.34,-10.61,25.0,1,3,0,25817.0,109212.82
