warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-C003,低温速冻冷库,低温库,2026-05-01 00:00:00,1.2,-26.82,34.0,0,1,0,15423.0,104914.8
WH-C003,低温速冻冷库,低温库,2026-05-01 01:00:00,1.2,-25.68,33.9,0,1,0,15331.0,104916.0
WH-C003,低温速冻冷库,低温库,2026-05-01 02:00:00,234.1,-26.5,34.5,1,2,0,15439.0,105150.08
WH-C003,低温速冻冷库,低温库,2026-05-01 03:00:00,209.84,-28.05,34.4,1,0,0,15521.0,105359.94
WH-C003,低温速冻冷库,低温库,2026-05-01 04:00:00,237.58,-29.19,34.7,1,1,0,15545.0,105597.58
WH-C003,低温速冻冷库,低温库,2026-05-01 05:00:00,229.75,-30.39,32.4,1,0,0,15346.0,105827.28
WH-C003,低温速冻冷库,低温库,2026-05-01 06:00:00,192.27,-31.24,29.8,1,3,0,15308.0,106019.55
WH-C003,低温速冻冷库,低温库,2026-05-01 07:00:00,252.38,-31.99,30.0,1,4,0,15541.0,106271.93
WH-C003,低温速冻冷库,低温库,2026-05-01 08:00:00,35.89,-28.73,27.5,0,0,1,15545.0,106307.85
WH-C003,低温速冻冷库,低温库,2026-05-01 09:00:00,4.8,-27.79,24.9,0,4,0,15432.0,106312.61
WH-C003,低温速冻冷库,低温库,2026-05-01 10:00:00,182.36,-28.58,22.9,1,6,0,15437.0,106494.98
WH-C003,低温速冻冷库,低温库,2026-05-01 11:00:00,183.4,-29.17,21.7,1,6,0,15486.0,106678.45
WH-C003,低温速冻冷库,低温库,2026-05-01 12:00:00,187.63,-29.79,22.1,1,6,0,15447.0,106866.13
WH-C003,低温速冻冷库,低温库,2026-05-01 13:00:00,183.4,-31.17,21.8,1,0,0,15484.0,107049.54
WH-C003,低温速冻冷库,低温库,2026-05-01 15:00:00,7.2,-31.07,22.9,0,6,0,15564.0,107244.31
WH-C003,低温速冻冷库,低温库,2026-05-01 16:00:00,0.0,-30.73,21.4,0,0,0,15591.0,107244.32
WH-C003,低温速冻冷库,低温库,2026-05-01 17:00:00,4.8,-29.68,22.6,0,4,0,15460.0,107249.07
WH-C003,低温速冻冷库,低温库,2026-05-01 18:00:00,0.0,-29.42,25.3,0,0,0,15538.0,107249.13
WH-C003,低温速冻冷库,低温库,2026-05-01 19:00:00,4.8,-28.48,27.8,0,4,0,15573.0,107253.97
WH-C003,低温速冻冷库,低温库,2026-05-01 20:00:00,41.56,-25.02,28.1,0,4,1,15594.0,107295.53
WH-C003,低温速冻冷库,低温库,2026-05-01 21:00:00,185.98,-26.38,30.0,1,0,0,15521.0,107481.44
WH-C003,低温速冻冷库,低温库,2026-05-01 22:00:00,200.26,-27.56,31.0,1,1,0,15349.0,107681.67
WH-C003,低温速冻冷库,低温库,2026-05-01 23:00:00,225.95,-28.62,33.4,1,1,0,15411.0,107907.57
WH-C003,低温速冻冷库,低温库,2026-05-02 00:00:00,207.64,-29.69,34.3,1,1,0,15347.0,108115.2
WH-C003,低温速冻冷库,低温库,2026-05-02 01:00:00,238.61,-31.11,33.7,1,1,0,15239.0,108353.9
WH-C003,低温速冻冷库,低温库,2026-05-02 02:00:00,1.2,-30.05,35.9,0,1,0,15352.0,108355.13
WH-C003,低温速冻冷库,低温库,2026-05-02 03:00:00,4.8,-28.79,35.6,0,4,0,15247.0,108359.86
WH-C003,低温速冻冷库,低温库,2026-05-02 04:00:00,3.42,-27.72,34.0,0,3,0,15348.0,108363.41
WH-C003,低温速冻冷库,低温库,2026-05-02 04:00:00,3.6,-27.72,34.0,0,3,0,15348.0,108363.41
WH-C003,低温速冻冷库,低温库,2026-05-02 05:00:00,2.4,-26.55,32.6,0,2,0,15413.0,108365.82
WH-C003,低温速冻冷库,低温库,2026-05-02 06:00:00,244.32,-28.05,31.0,1,0,0,15406.0,108610.2
WH-C003,低温速冻冷库,低温库,2026-05-02 07:00:00,182.44,-29.11,27.8,1,1,0,15430.0,108792.61
WH-C003,低温速冻冷库,低温库,2026-05-02 08:00:00,275.2,-27.87,28.2,1,1,1,15196.0,109067.86
WH-C003,低温速冻冷库,低温库,2026-05-02 09:00:00,185.52,-29.08,24.4,1,3,0,15360.0,109253.35
WH-C003,低温速冻冷库,低温库,2026-05-02 10:00:00,222.73,-30.02,25.5,1,6,0,15474.0,109476.16
WH-C003,低温速冻冷库,低温库,2026-05-02 11:00:00,-50.0,-31.33,22.1,1,1,0,15516.0,109661.3
WH-C003,低温速冻冷库,低温库,2026-05-02 12:00:00,7.2,-30.51,22.0,0,6,0,15458.0,109668.48
WH-C003,低温速冻冷库,低温库,2026-05-02 13:00:00,43.3,-26.98,19.5,0,6,1,15485.0,109711.71
WH-C003,低温速冻冷库,低温库,2026-05-02 14:00:00,188.14,-27.87,20.6,1,1,0,15569.0,109899.94
WH-C003,低温速冻冷库,低温库,2026-05-02 15:00:00,211.77,-28.74,21.0,1,3,0,15528.0,110111.75
