warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-A001,高温蔬果冷库,高温库,2026-05-01 00:00:00,1.5,7.08,39.3,0,6,0,15234.0,103198.55
WH-A001,高温蔬果冷库,高温库,2026-05-01 01:00:00,34.54,6.74,40.9,1,10,0,15205.0,103233.04
WH-A001,高温蔬果冷库,高温库,2026-05-01 02:00:00,42.36,6.35,41.3,1,10,0,15298.0,103275.44
WH-A001,高温蔬果冷库,高温库,2026-05-01 03:00:00,42.51,5.81,40.2,1,8,0,15242.0,103317.85
WH-A001,高温蔬果冷库,高温库,2026-05-01 04:00:00,33.91,4.7,39.1,1,4,0,15012.0,103351.85
WH-A001,高温蔬果冷库,高温库,2026-05-01 05:00:00,1.75,5.77,37.2,0,7,0,15000.0,103353.57
WH-A001,高温蔬果冷库,高温库,2026-05-01 06:00:00,47.18,8.07,35.3,1,7,1,15000.0,103400.85
WH-A001,高温蔬果冷库,高温库,2026-05-01 07:00:00,38.32,7.39,33.9,1,8,0,15008.0,103439.24
WH-A001,高温蔬果冷库,高温库,2026-05-01 08:00:00,32.04,6.94,31.6,1,10,0,15021.0,103471.23
WH-A001,高温蔬果冷库,高温库,2026-05-01 09:00:00,39.69,6.59,30.2,1,9,0,15000.0,103510.9
WH-A001,高温蔬果冷库,高温库,2026-05-01 10:00:00,34.8,6.64,27.5,1,13,0,15222.0,103545.64
WH-A001,高温蔬果冷库,高温库,2026-05-01 11:00:00,30.28,6.14,25.5,1,9,0,15321.0,103575.95
WH-A001,高温蔬果冷库,高温库,2026-05-01 12:00:00,34.66,6.1,25.2,1,15,0,15086.0,103610.7
WH-A001,高温蔬果冷库,高温库,2026-05-01 13:00:00,38.11,6.37,24.4,1,15,0,15174.0,103648.72
WH-A001,高温蔬果冷库,高温库,2026-05-01 14:00:00,36.39,7.86,23.9,1,3,1,15138.0,103685.13
WH-A001,高温蔬果冷库,高温库,2026-05-01 15:00:00,37.71,7.91,23.7,1,10,0,15083.0,103722.87
WH-A001,高温蔬果冷库,高温库,2026-05-01 16:00:00,34.19,7.48,25.3,1,6,0,15000.0,103757.01
WH-A001,高温蔬果冷库,高温库,2026-05-01 17:00:00,32.61,7.59,26.0,1,12,0,15000.0,103789.72
