warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-C003,低温速冻冷库,低温库,2026-05-01 00:00:00,370.15,-32.14,33.6,1,4,0,10435.0,104332.18
WH-C003,低温速冻冷库,低温库,2026-05-01 01:00:00,0.0,-30.6,34.8,0,0,0,10547.0,104332.22
WH-C003,低温速冻冷库,低温库,2026-05-01 02:00:00,0.9,-29.01,34.5,0,1,0,10545.0,104333.08
WH-C003,低温速冻冷库,低温库,2026-05-01 03:00:00,2.7,-27.2,35.2,0,3,0,10459.0,104335.82
WH-C003,低温速冻冷库,低温库,2026-05-01 04:00:00,2.7,-25.51,34.0,0,3,0,10485.0,104338.55
WH-C003,低温速冻冷库,低温库,2026-05-01 05:00:00,331.12,-28.23,32.7,1,3,0,10497.0,104669.65
WH-C003,低温速冻冷库,低温库,2026-05-01 06:00:00,357.82,-31.27,31.5,1,0,0,10701.0,105027.43
WH-C003,低温速冻冷库,低温库,2026-05-01 07:00:00,1.8,-29.63,29.8,0,2,0,10513.0,105029.24
WH-C003,低温速冻冷库,低温库,2026-05-01 08:00:00,45.06,-25.75,27.1,0,6,1,10479.0,105074.3
WH-C003,低温速冻冷库,低温库,2026-05-01 09:00:00,297.84,-28.83,26.4,1,1,0,10413.0,105372.1
WH-C003,低温速冻冷库,低温库,2026-05-01 10:00:00,336.49,-31.67,25.6,1,6,0,10447.0,105708.58
WH-C003,低温速冻冷库,低温库,2026-05-01 11:00:00,3.6,-30.17,22.8,0,4,0,10644.0,105712.15
WH-C003,低温速冻冷库,低温库,2026-05-01 12:00:00,5.4,-28.65,21.4,0,6,0,10562.0,105717.53
WH-C003,低温速冻冷库,低温库,2026-05-01 13:00:00,0.9,-27.47,20.8,0,1,0,10409.0,105718.45
WH-C003,低温速冻冷库,低温库,2026-05-01 14:00:00,280.9,-30.72,20.3,1,0,0,10480.0,105999.4
WH-C003,低温速冻冷库,低温库,2026-05-01 15:00:00,281.07,-33.75,21.1,1,0,0,10632.0,106280.49
WH-C003,低温速冻冷库,低温库,2026-05-01 16:00:00,5.4,-32.26,21.7,0,6,0,10556.0,106285.9
WH-C003,低温速冻冷库,低温库,2026-05-01 17:00:00,0.0,-30.97,23.6,0,0,0,10532.0,106285.93
WH-C003,低温速冻冷库,低温库,2026-05-01 18:00:00,2.7,-29.43,23.8,0,3,0,10439.0,106288.68
WH-C003,低温速冻冷库,低温库,2026-05-01 19:00:00,3.6,-27.92,25.1,0,4,0,10559.0,106292.32
WH-C003,低温速冻冷库,低温库,2026-05-01 20:00:00,371.65,-28.54,27.9,1,4,1,10398.0,106664.01
WH-C003,低温速冻冷库,低温库,2026-05-01 21:00:00,309.69,-31.34,29.5,1,0,0,10392.0,106973.7
WH-C003,低温速冻冷库,低温库,2026-05-01 22:00:00,2.7,-29.73,31.6,0,3,0,10297.0,106976.41
WH-C003,低温速冻冷库,低温库,2026-05-01 23:00:00,0.9,-28.06,33.4,0,1,0,10453.0,106977.29
WH-C003,低温速冻冷库,低温库,2026-05-02 00:00:00,0.9,-26.23,34.6,0,1,0,10526.0,106978.21
WH-C003,低温速冻冷库,低温库,2026-05-02 01:00:00,360.42,-28.89,33.2,1,2,0,10606.0,107338.6
WH-C003,低温速冻冷库,低温库,2026-05-02 02:00:00,379.98,-29.61,33.9,1,1,1,10500.0,107718.62
