warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 00:00:00,2.1,-16.46,31.8,0,5,0,34257.0,100753.24
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 01:00:00,0.42,-15.22,31.5,0,1,0,34341.0,100753.61
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 02:00:00,121.23,-18.32,31.8,1,3,0,34172.0,100874.79
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 03:00:00,17.89,-16.37,32.9,0,3,1,34185.0,100892.67
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 04:00:00,20.36,-14.44,32.0,0,3,1,34265.0,100913.03
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 05:00:00,123.74,-17.58,30.5,1,1,0,34385.0,101036.77
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 06:00:00,125.82,-20.73,28.9,1,1,0,34342.0,101162.56
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 07:00:00,2.52,-19.8,26.6,0,6,0,34394.0,101165.13
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 08:00:00,0.42,-18.79,26.9,0,1,0,34363.0,101165.56
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 09:00:00,1.26,-17.69,24.8,0,3,0,34216.0,101166.8
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 10:00:00,2.94,-16.68,24.2,0,7,0,34322.0,101169.71
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 11:00:00,105.05,-19.95,21.5,1,6,0,34340.0,101274.77
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 12:00:00,22.27,-18.1,22.2,0,9,1,34357.0,101297.07
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 13:00:00,0.42,-17.37,20.5,0,1,0,34315.0,101297.48
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 14:00:00,3.78,-16.1,19.7,0,9,0,34412.0,101301.25
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 15:00:00,118.4,-19.32,20.4,1,6,0,34371.0,101419.6
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 16:00:00,2.52,-18.25,20.8,0,6,0,34275.0,101422.16
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 17:00:00,1.26,-17.23,22.1,0,3,0,34460.0,101423.43
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 18:00:00,2.94,-16.26,22.5,0,7,0,34558.0,101426.41
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 19:00:00,138.57,-18.71,25.0,1,2,1,34496.0,101564.97
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 20:00:00,140.01,-21.27,26.2,1,1,1,34176.0,101704.99
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 21:00:00,1.26,-20.35,27.4,0,3,0,34185.0,101706.29
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 22:00:00,0.42,-19.43,27.7,0,1,0,34087.0,101706.73
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 23:00:00,0.42,-18.37,30.7,0,1,0,34085.0,101707.16
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 00:00:00,1.68,-17.31,31.5,0,4,0,33996.0,101708.85
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 01:00:00,0.84,-16.2,30.7,0,2,0,33983.0,101709.74
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 02:00:00,0.42,-15.28,32.5,0,1,0,34151.0,101710.13
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 03:00:00,129.25,-17.48,32.9,1,18,0,34128.0,101839.36
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 04:00:00,17.72,-15.37,31.2,0,1,1,34213.0,101857.03
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 05:00:00,0.42,-14.3,30.1,0,1,0,34239.0,101857.42
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 06:00:00,124.15,-17.3,28.9,1,2,0,34080.0,101981.59
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 07:00:00,120.6,-20.25,27.2,1,6,0,34099.0,102102.16
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 08:00:00,3.78,-18.98,25.5,0,9,0,33978.0,102105.96
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 09:00:00,2.94,-17.87,23.0,0,7,0,33944.0,102108.88
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 10:00:00,0.42,-16.89,22.8,0,1,0,33759.0,102109.32
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 11:00:00,2.52,-15.91,21.8,0,6,0,33930.0,102111.84
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 12:00:00,121.45,-18.15,20.1,1,6,1,33963.0,102233.29
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 13:00:00,110.08,-21.7,19.3,1,1,0,34139.0,102343.33
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 14:00:00,1.68,-20.9,18.5,0,4,0,34298.0,102345.03
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 15:00:00,5.88,-19.31,19.7,0,14,0,34087.0,102350.95
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 16:00:00,2.94,-18.17,19.8,0,7,0,34094.0,102353.89
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 17:00:00,2.94,-17.31,22.1,0,7,0,34086.0,102356.81
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 18:00:00,3.78,-16.22,22.4,0,9,0,34109.0,102360.63
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 19:00:00,110.22,-19.44,24.6,1,2,0,34191.0,102470.84
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 20:00:00,20.39,-17.28,25.0,0,6,1,34454.0,102491.2
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 21:00:00,2.52,-15.87,27.6,0,6,0,34585.0,102493.72
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 22:00:00,0.84,-15.23,27.8,0,2,0,34558.0,102494.57
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 23:00:00,112.24,-18.32,30.4,1,5,0,34602.0,102606.84
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 00:00:00,0.84,-17.29,30.7,0,2,0,34356.0,102607.68
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 01:00:00,2.52,-16.02,33.0,0,6,0,34285.0,102610.25
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 02:00:00,2.52,-14.89,30.7,0,6,0,34340.0,102612.81
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 03:00:00,120.58,-17.96,31.2,1,6,0,34249.0,102733.35
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 04:00:00,20.47,-15.86,31.5,0,5,1,34091.0,102753.81
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 05:00:00,1.26,-14.63,30.2,0,3,0,33959.0,102755.11
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 06:00:00,111.08,-17.96,28.3,1,3,0,33879.0,102866.21
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 08:00:00,1.26,-20.19,26.9,0,3,0,33969.0,102985.75
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 09:00:00,1.26,-19.24,24.2,0,3,0,33879.0,102987.05
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 10:00:00,0.42,-18.61,22.6,0,1,0,34097.0,102987.51
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 11:00:00,1.68,-17.64,23.0,0,4,0,34084.0,102989.23
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 12:00:00,20.62,-15.62,21.5,0,4,1,34009.0,103009.86
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 13:00:00,114.38,-18.99,18.0,1,6,0,33922.0,103124.24
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 14:00:00,1.68,-18.07,19.0,0,4,0,33896.0,103125.89
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 15:00:00,0.42,-17.41,20.8,0,1,0,33925.0,103126.34
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 16:00:00,2.94,-16.24,21.1,0,7,0,33940.0,103129.26
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 17:00:00,111.86,-19.77,22.4,1,1,0,33944.0,103241.08
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 18:00:00,1.68,-18.88,22.5,0,4,0,33878.0,103242.78
