warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 00:00:00,2.7,1.43,30.2,0,10,0,9291.0,100332.33
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 01:00:00,12.75,3.32,31.1,0,8,1,9116.0,100345.05
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 02:00:00,78.01,3.21,30.4,1,19,1,9014.0,100423.08
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 03:00:00,68.03,1.67,30.0,1,9,0,8991.0,100491.06
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 04:00:00,71.93,0.25,29.1,1,11,0,9019.0,100562.95
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 05:00:00,12.51,1.84,29.2,0,4,1,9113.0,100575.5
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 06:00:00,65.45,-0.25,27.9,1,4,0,9008.0,100640.98
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 07:00:00,62.9,-2.06,26.2,1,5,0,8899.0,100703.91
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 08:00:00,4.32,-0.9,25.7,0,16,0,8671.0,100708.23
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 09:00:00,16.77,1.46,22.5,0,18,1,8616.0,100724.98
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 10:00:00,80.06,1.18,22.3,1,16,1,8545.0,100805.05
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 11:00:00,57.51,-0.41,19.6,1,15,0,8693.0,100862.51
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 12:00:00,4.86,1.04,20.6,0,18,0,8630.0,100867.37
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 13:00:00,56.17,-0.73,19.2,1,9,0,8631.0,100923.58
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 14:00:00,4.05,0.34,18.7,0,15,0,8521.0,100927.66
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 15:00:00,3.24,1.25,19.5,0,12,0,8423.0,100930.92
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 16:00:00,62.13,-0.37,21.2,1,10,0,8382.0,100993.08
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 17:00:00,58.06,-2.05,20.7,1,7,0,8232.0,101051.17
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 18:00:00,12.92,-0.66,22.0,0,4,1,8074.0,101064.07
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 19:00:00,5.94,0.85,24.6,0,22,0,8033.0,101070.02
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 20:00:00,66.37,-0.76,24.9,1,12,0,8155.0,101136.42
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 21:00:00,2.43,0.33,28.2,0,9,0,8171.0,101138.81
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 23:00:00,1.35,2.01,28.8,0,5,0,8228.0,101143.12
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 00:00:00,2.97,3.34,29.5,0,11,0,8376.0,101146.06
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 01:00:00,72.32,1.68,30.5,1,10,0,8600.0,101218.34
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 02:00:00,77.55,0.94,30.6,1,9,1,8760.0,101295.87
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 03:00:00,2.16,1.76,29.4,0,8,0,8969.0,101298.06
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 04:00:00,2.16,2.81,28.3,0,8,0,9152.0,101300.2
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 05:00:00,60.33,0.94,28.9,1,6,0,9147.0,101360.49
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 06:00:00,70.73,-0.56,27.7,1,12,0,9336.0,101431.22
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 07:00:00,2.16,0.34,28.0,0,8,0,9229.0,101433.37
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 08:00:00,1.62,1.07,24.7,0,6,0,9098.0,101435.04
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 09:00:00,67.34,-0.27,24.0,1,12,0,9161.0,101502.37
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 10:00:00,68.95,-1.29,22.9,1,4,1,9299.0,101571.31
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 11:00:00,1.08,-0.61,22.8,0,4,0,9587.0,101572.4
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 12:00:00,4.05,0.53,19.9,0,15,0,9521.0,101576.48
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 13:00:00,1.89,1.3,20.5,0,7,0,9605.0,101578.38
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 14:00:00,57.11,-0.27,20.0,1,13,0,9529.0,101635.53
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 15:00:00,65.61,-1.65,21.7,1,16,0,9651.0,101701.13
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 16:00:00,3.24,-0.72,21.5,0,12,0,9607.0,101704.41
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 17:00:00,2.7,0.1,20.9,0,10,0,9592.0,101707.16
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 18:00:00,15.03,1.93,23.5,0,10,1,9535.0,101722.18
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 19:00:00,66.21,0.07,25.3,1,6,0,9480.0,101788.34
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 20:00:00,63.38,-1.36,25.4,1,12,0,9344.0,101851.75
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 21:00:00,1.62,-0.65,26.8,0,6,0,9531.0,101853.4
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 22:00:00,1.89,0.22,27.6,0,7,0,9536.0,101855.28
WH-D004,恒温保鲜冷库,恒温库,2026-05-02 23:00:00,2.7,1.05,27.4,0,10,0,9549.0,101857.95
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 00:00:00,2.16,1.76,29.6,0,8,0,9294.0,101860.07
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 01:00:00,2.7,2.69,30.5,0,10,0,9228.0,101862.77
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 02:00:00,79.01,1.87,31.0,1,3,1,9267.0,101941.76
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 03:00:00,64.37,0.15,29.7,1,9,0,9589.0,102006.09
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 04:00:00,3.24,1.1,30.7,0,12,0,9581.0,102009.32
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 05:00:00,2.97,2.04,28.9,0,11,0,9619.0,102012.27
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 06:00:00,61.42,0.54,-50.0,1,12,0,9616.0,102073.65
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 07:00:00,57.05,-1.57,24.3,1,3,0,9743.0,102130.75
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 08:00:00,1.62,-0.84,23.9,0,6,0,9856.0,102132.38
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 09:00:00,2.7,0.1,24.7,0,10,0,9908.0,102135.06
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 10:00:00,13.52,1.96,22.4,0,10,1,9966.0,102148.57
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 11:00:00,58.72,0.33,20.8,1,13,0,10039.0,102207.27
WH-D004,恒温保鲜冷库,恒温库,2026-05-03 12:00:00,61.25,-1.29,20.7,1,13,0,10170.0,102271.51
