warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 00:00:00,0.72,5.26,39.3,0,3,0,15234.0,103197.81
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 01:00:00,0.24,5.94,40.9,0,1,0,15205.0,103198.01
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 02:00:00,0.48,6.65,41.3,0,2,0,15298.0,103198.46
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 03:00:00,64.82,4.69,40.2,1,4,0,15242.0,103263.23
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 04:00:00,0.48,5.28,39.1,0,2,0,15012.0,103263.68
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 05:00:00,0.72,5.99,37.2,0,3,0,15000.0,103264.39
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 06:00:00,70.95,4.63,35.3,1,3,1,15000.0,103335.38
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 07:00:00,59.36,2.5,33.9,1,4,0,15008.0,103394.78
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 08:00:00,0.96,3.05,31.6,0,4,0,15021.0,103395.7
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 09:00:00,0.72,3.59,30.2,0,3,0,15000.0,103396.45
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 10:00:00,0.24,4.04,27.5,0,1,0,15222.0,103396.72
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 11:00:00,0.72,4.45,25.5,0,3,0,15321.0,103397.42
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 12:00:00,0.24,4.78,25.2,0,1,0,15086.0,103397.68
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 13:00:00,0.72,5.25,24.4,0,3,0,15174.0,103398.45
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 14:00:00,63.91,3.51,23.9,1,3,1,15138.0,103462.31
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 15:00:00,55.7,1.34,23.7,1,4,0,15083.0,103518.02
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 16:00:00,0.96,1.87,25.3,0,4,0,15000.0,103519.02
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 17:00:00,1.44,2.48,26.0,0,6,0,15000.0,103520.48
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 18:00:00,0.96,3.0,28.8,0,4,0,15112.0,103521.45
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 19:00:00,0.72,3.61,29.7,0,3,0,15152.0,103522.17
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 20:00:00,0.24,4.07,31.6,0,1,0,15129.0,103522.37
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 21:00:00,0.48,4.73,33.1,0,2,0,15227.0,103522.81
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 22:00:00,10.46,6.05,35.9,0,4,1,15347.0,103533.28
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-01 23:00:00,0.24,6.77,37.1,0,1,0,15391.0,103533.55
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 00:00:00,58.84,4.63,38.9,1,3,0,15578.0,103592.36
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 01:00:00,0.24,5.3,40.4,0,1,0,15589.0,103592.58
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 02:00:00,0.48,5.99,40.1,0,2,0,15350.0,103593.07
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 03:00:00,0.48,6.67,40.0,0,2,0,15528.0,103593.55
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 04:00:00,56.29,4.67,38.3,1,1,0,15467.0,103649.83
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 05:00:00,0.72,5.4,37.9,0,3,0,15404.0,103650.56
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 06:00:00,65.22,3.87,36.1,1,1,1,15520.0,103715.8
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 07:00:00,54.58,1.68,33.8,1,2,0,15473.0,103770.39
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 08:00:00,1.44,2.36,32.2,0,6,0,15504.0,103771.85
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 09:00:00,0.72,2.89,29.7,0,3,0,15334.0,103772.59
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 10:00:00,0.96,3.43,27.7,0,4,0,15238.0,103773.51
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 11:00:00,0.72,3.94,26.7,0,3,0,15465.0,103774.24
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 13:00:00,0.24,5.08,24.3,0,1,0,15463.0,103777.06
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 14:00:00,66.57,3.51,23.8,1,6,1,15499.0,103843.63
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 15:00:00,49.26,1.39,23.3,1,6,0,15636.0,103892.88
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 16:00:00,1.44,2.04,25.7,0,6,0,15527.0,103894.28
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 17:00:00,0.24,2.58,25.2,0,1,0,15597.0,103894.55
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 18:00:00,0.24,3.04,27.2,0,1,0,15529.0,103894.78
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 19:00:00,0.96,3.62,29.5,0,4,0,15343.0,103895.78
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 20:00:00,0.24,4.08,31.2,0,1,0,15400.0,103896.03
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 21:00:00,0.24,4.66,35.3,0,1,0,15306.0,103896.22
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 22:00:00,9.57,5.89,36.7,0,1,1,15159.0,103905.79
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-02 23:00:00,0.48,6.59,38.7,0,2,0,15000.0,103906.23
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 00:00:00,63.19,4.47,39.1,1,1,0,15094.0,103969.42
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 01:00:00,0.96,5.24,38.7,0,4,0,15156.0,103970.41
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 02:00:00,0.96,5.97,40.2,0,4,0,15198.0,103971.41
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 03:00:00,0.24,6.6,39.9,0,1,0,15233.0,103971.66
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 04:00:00,64.87,4.54,40.4,1,2,0,15290.0,104036.49
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 05:00:00,0.24,5.24,38.2,0,1,0,15173.0,104036.69
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 06:00:00,65.8,3.85,36.9,1,2,1,15075.0,104102.5
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 07:00:00,60.22,1.9,34.4,1,3,0,15173.0,104162.69
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 08:00:00,1.44,2.53,31.8,0,6,0,15083.0,104164.13
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 09:00:00,1.92,3.24,29.3,0,8,0,15074.0,104166.1
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 10:00:00,0.24,3.71,28.2,0,1,0,15173.0,104166.3
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 11:00:00,0.96,4.41,27.5,0,4,0,15141.0,104167.25
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 12:00:00,0.72,4.83,25.6,0,3,0,15038.0,104167.95
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 13:00:00,0.24,5.27,24.7,0,1,0,15011.0,104168.23
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 14:00:00,58.02,3.52,24.4,1,1,1,15003.0,104226.25
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 15:00:00,50.95,1.34,23.1,1,4,0,15000.0,104276.95
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 15:00:00,50.68,1.34,23.1,1,4,0,15000.0,104276.95
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 16:00:00,0.96,1.85,25.2,0,4,0,15000.0,104277.95
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 17:00:00,0.24,2.3,26.7,0,1,0,15000.0,104278.17
WH-A001,高温蔬果冷库（新设备）,高温库,2026-05-03 18:00:00,0.24,2.78,28.0,0,1,0,15000.0,104278.46
