timestamp,warehouse_id,warehouse_name,warehouse_type,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
2026-05-01 00:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,5.22,39.3,0,3,0,15234.0,103197.81
2026-05-01 01:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,5.9,40.9,0,1,0,15205.0,103198.01
2026-05-01 02:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.48,6.59,41.3,0,2,0,15298.0,103198.46
2026-05-01 03:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,64.82,4.6,40.2,0,4,0,15242.0,103263.23
2026-05-01 04:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.48,5.2,39.1,0,2,0,15012.0,103263.68
2026-05-01 05:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,5.87,37.2,0,3,0,15000.0,103264.39
2026-05-01 06:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,70.95,4.26,35.3,1,3,1,15000.0,103335.38
2026-05-01 07:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,59.36,2.12,33.9,1,4,0,15008.0,103394.78
2026-05-01 08:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,2.65,31.6,0,4,0,15021.0,103395.7
2026-05-01 09:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,3.17,30.2,0,3,0,15000.0,103396.45
2026-05-01 10:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,3.61,27.5,0,1,0,15222.0,103396.72
2026-05-01 11:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.705,4.01,25.5,0,3,0,15321.0,103397.42
2026-05-01 12:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,4.36,25.2,0,1,0,15086.0,103397.68
2026-05-01 13:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,4.79,24.4,0,3,0,15174.0,103398.45
2026-05-01 14:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,24.37,4.03,24.049999999999997,0,2,0,15128.5,103428.1
2026-05-01 15:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,48.02,3.27,23.7,0,1,0,15083.0,103457.75
2026-05-01 16:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,3.74,25.3,0,4,0,15000.0,103458.75
2026-05-01 17:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,1.44,4.28,26.0,0,6,0,15000.0,103460.21
2026-05-01 18:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,4.78,28.8,0,4,0,15112.0,103461.18
2026-05-01 19:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,5.34,29.7,0,3,0,15152.0,103461.9
2026-05-01 20:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,53.03,3.11,31.6,0,1,0,15129.0,103514.9
2026-05-01 21:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,3.77,33.1,0,4,0,15227.0,103515.87
2026-05-01 22:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,11.68,4.84,35.9,0,4,1,15347.0,103527.5
2026-05-01 23:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,5.52,37.1,0,1,0,15391.0,103527.72
2026-05-02 00:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,6.1,38.9,0,3,0,15578.0,103528.43
2026-05-02 01:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,6.8,40.4,0,3,0,15589.0,103529.15
2026-05-02 02:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,62.39,4.76,40.1,0,1,0,15350.0,103591.55
2026-05-02 03:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.48,5.43,40.0,0,2,0,15528.0,103592.08
2026-05-02 04:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,6.1,38.3,0,1,0,15467.0,103592.28
2026-05-02 05:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,6.8,37.9,0,3,0,15404.0,103592.98
2026-05-02 06:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,65.25,5.06,36.1,1,1,1,15520.0,103658.26
2026-05-02 07:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,58.1,2.88,33.8,1,2,0,15473.0,103716.34
2026-05-02 08:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,1.44,3.51,32.2,0,6,0,15504.0,103717.8
2026-05-02 09:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,4.02,29.7,0,3,0,15334.0,103718.54
2026-05-02 10:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,4.52,27.7,0,4,0,15238.0,103719.46
2026-05-02 11:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,4.99,26.7,0,3,0,15465.0,103720.19
2026-05-02 12:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,52.64,2.82,25.3,0,11,0,15456.0,103772.87
2026-05-02 13:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,3.36,24.3,0,4,0,15463.0,103773.85
2026-05-02 14:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,11.48,4.18,23.8,0,3,1,15499.0,103785.33
2026-05-02 15:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,4.62,23.3,0,3,0,15636.0,103786.02
2026-05-02 16:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,5.08,25.7,0,1,0,15527.0,103786.25
2026-05-02 17:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.6,4.225,26.45,0,2,0,15528.0,103811.26000000001
2026-05-02 18:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,3.37,27.2,0,4,0,15529.0,103836.27
2026-05-02 19:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,3.91,29.5,0,4,0,15343.0,103837.23
2026-05-02 20:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,4.39,31.2,0,1,0,15400.0,103837.48
2026-05-02 21:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,4.96,35.3,0,1,0,15306.0,103837.67
2026-05-02 22:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,9.57,5.98,36.7,0,1,1,15159.0,103847.24
2026-05-02 23:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.48,6.65,38.7,0,2,0,15000.0,103847.68
2026-05-03 00:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,63.19,4.55,39.1,0,1,0,15094.0,103910.87
2026-05-03 01:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,5.27,38.7,0,4,0,15156.0,103911.86
2026-05-03 02:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,5.97,40.2,0,4,0,15198.0,103912.86
2026-05-03 03:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,6.61,39.9,0,1,0,15233.0,103913.11
2026-05-03 04:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,64.87,4.56,40.4,0,2,0,15290.0,103977.94
2026-05-03 05:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,5.22,38.2,0,1,0,15173.0,103978.14
2026-05-03 06:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,65.8,3.59,36.9,1,2,1,15075.0,104043.95
2026-05-03 07:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,60.22,1.58,34.4,1,3,0,15173.0,104104.14
2026-05-03 08:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,1.44,2.16,31.8,0,6,0,15083.0,104105.58
2026-05-03 09:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,1.92,2.79,29.3,0,8,0,15074.0,104107.55
2026-05-03 10:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,3.25,28.2,0,1,0,15173.0,104107.75
2026-05-03 11:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,3.86,27.5,0,4,0,15141.0,104108.7
2026-05-03 12:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.72,4.26,25.6,0,3,0,15038.0,104109.4
2026-05-03 13:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,4.69,24.7,0,1,0,15011.0,104109.68
2026-05-03 14:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,9.47,5.44,24.4,0,1,1,15003.0,104119.11
2026-05-03 15:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,53.5,3.18,23.1,0,3,0,15000.0,104172.58
2026-05-03 16:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,3.65,25.2,0,4,0,15000.0,104173.58
2026-05-03 17:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,4.08,26.7,0,1,0,15000.0,104173.8
2026-05-03 18:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,4.55,28.0,0,1,0,15000.0,104174.09
2026-05-03 19:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.48,5.1,30.4,0,2,0,15130.0,104174.56
2026-05-03 20:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,57.43,2.93,30.9,0,1,0,15017.0,104231.98999999999
2026-05-03 21:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,3.65,34.5,0,1,0,15079.0,104232.16
2026-05-03 22:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,11.35,4.72,36.5,0,2,1,15216.0,104243.56
2026-05-03 23:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,5.38,38.2,0,1,0,15178.0,104243.77
2026-05-04 00:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.24,6.0,38.3,0,1,0,15149.0,104244.05
2026-05-04 01:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.48,6.61,39.8,0,2,0,15427.0,104244.5
2026-05-04 02:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,63.81,4.59,40.5,0,2,0,15233.0,104308.29
2026-05-04 03:00:00,WH-A001,高温蔬果冷库（新设备）,高温库,0.96,5.28,40.6,0,4,0,15241.0,104309.28
