warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 00:00:00,1.32,5.14,32.2,0,4,0,14890.0,103311.79
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 01:00:00,0.66,5.72,31.9,0,2,0,14798.0,103312.44
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 02:00:00,0.66,6.34,32.5,0,2,0,14906.0,103313.09
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 03:00:00,15.84,7.31,32.5,0,5,1,14988.0,103328.96
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 04:00:00,81.49,6.32,32.8,1,3,0,15012.0,103410.45
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 05:00:00,77.46,5.27,30.7,1,2,0,14813.0,103487.91
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 06:00:00,75.98,4.26,28.3,1,5,0,14774.0,103563.88
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 07:00:00,78.32,3.25,28.7,1,5,0,15008.0,103642.23
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 08:00:00,1.98,3.78,26.5,0,6,0,15012.0,103644.16
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 09:00:00,14.43,4.64,24.2,0,6,1,14899.0,103658.63
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 10:00:00,1.98,5.08,22.4,0,6,0,14904.0,103660.66
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 11:00:00,68.31,3.97,21.4,1,7,0,14953.0,103728.98
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 12:00:00,76.31,2.91,22.0,1,9,0,14914.0,103805.26
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 13:00:00,2.97,3.38,21.7,0,9,0,14951.0,103808.24
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 14:00:00,2.31,3.8,21.2,0,7,0,15094.0,103810.53
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 15:00:00,15.72,4.69,22.9,0,7,1,15031.0,103826.24
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 16:00:00,2.97,5.11,21.3,0,9,0,15058.0,103829.23
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 17:00:00,73.76,3.93,22.3,1,4,0,14927.0,103902.97
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 18:00:00,71.03,2.81,24.8,1,9,0,15005.0,103974.01
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 19:00:00,0.66,3.23,27.1,0,2,0,15040.0,103974.65
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 20:00:00,0.66,3.66,27.1,0,2,0,15061.0,103975.34
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 21:00:00,16.68,4.61,28.7,0,6,1,14988.0,103991.98
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 22:00:00,1.32,5.15,29.5,0,4,0,14816.0,103993.31
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-01 23:00:00,1.65,5.78,31.7,0,5,0,14878.0,103994.97
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 00:00:00,1.32,6.41,32.5,0,4,0,14814.0,103996.31
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 01:00:00,79.8,5.36,31.7,1,4,0,14706.0,104076.1
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 02:00:00,83.22,4.45,33.9,1,6,0,14819.0,104159.36
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 03:00:00,16.62,5.52,33.7,0,6,1,14714.0,104176.02
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 04:00:00,1.32,6.1,32.1,0,4,0,14815.0,104177.35
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 05:00:00,1.65,6.72,30.9,0,5,0,14880.0,104178.96
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 06:00:00,71.98,5.61,29.5,1,3,0,14873.0,104250.96
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 07:00:00,78.42,4.53,26.6,1,4,0,14897.0,104329.42
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 08:00:00,72.19,3.43,27.2,1,4,0,14663.0,104401.58
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 09:00:00,82.07,2.73,23.7,1,9,1,14827.0,104483.68
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 10:00:00,1.98,3.19,25.0,0,6,0,14941.0,104485.65
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 11:00:00,0.99,3.54,21.9,0,3,0,14983.0,104486.59
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 12:00:00,1.98,3.91,21.9,0,6,0,14925.0,104488.61
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 13:00:00,2.31,4.31,19.4,0,7,0,14952.0,104490.96
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 14:00:00,1.98,4.77,20.6,0,6,0,15036.0,104492.98
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 15:00:00,17.12,5.64,21.0,0,7,1,14995.0,104510.09
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 16:00:00,69.55,4.45,20.7,1,4,0,15022.0,104579.6
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 17:00:00,70.46,3.36,23.3,1,9,0,14789.0,104650.1
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 18:00:00,1.32,3.81,23.3,0,4,0,14801.0,104651.4
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 19:00:00,1.98,4.32,26.6,0,6,0,14742.0,104427.38919849247
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 20:00:00,1.65,4.9,27.9,0,5,0,14777.0,104655.02
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 21:00:00,15.32,5.77,28.8,0,4,1,14639.0,104670.34
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 22:00:00,1.32,6.34,28.8,0,4,0,14718.0,104671.67
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-02 23:00:00,1.65,7.01,32.7,0,5,0,14819.0,104673.36
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 00:00:00,81.88,6.01,31.7,1,3,0,14680.0,104755.19
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 01:00:00,83.76,5.08,33.1,1,6,0,14693.0,104838.9
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 02:00:00,80.93,4.13,33.3,1,3,0,14847.0,104919.85
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 03:00:00,14.25,5.12,33.2,0,2,1,14949.0,104934.05
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 04:00:00,1.65,5.66,31.8,0,5,0,15040.0,104935.68
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 05:00:00,0.99,6.24,32.1,0,3,0,14896.0,104936.64
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 06:00:00,79.89,5.21,29.3,1,5,0,14963.0,105016.52
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 07:00:00,77.4,4.06,27.3,1,2,0,15013.0,105093.92
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 08:00:00,75.16,3.05,27.7,1,7,0,15013.0,105169.12
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 09:00:00,14.76,3.86,24.7,0,3,1,14943.0,105183.87
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 10:00:00,2.97,4.38,24.7,0,9,0,15144.0,105186.82
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 11:00:00,0.99,4.75,23.6,0,3,0,14884.0,105187.78
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 12:00:00,2.31,5.13,21.0,0,7,0,14721.0,105190.08
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 13:00:00,67.07,3.99,21.5,1,6,0,14696.0,104901.05685838689
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 14:00:00,73.49,2.83,21.6,1,4,0,14727.0,105330.62
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 15:00:00,15.16,3.72,21.1,0,7,1,14585.0,105345.79
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 16:00:00,1.98,4.14,21.3,1,6,0,14473.0,105347.76
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 17:00:00,1.32,4.56,22.0,0,4,0,14423.0,105349.12
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 18:00:00,2.97,5.09,24.3,0,9,0,14315.0,105352.13
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 19:00:00,80.15,4.1,26.3,1,6,0,14374.0,105432.25
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 20:00:00,76.11,2.95,27.9,1,3,0,14512.0,105508.32
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 21:00:00,13.73,3.86,29.2,0,4,1,14505.0,105522.06
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 22:00:00,1.65,4.45,30.1,0,5,0,14619.0,105523.68
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-03 23:00:00,0.99,4.96,30.5,0,3,0,14708.0,105524.7
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 00:00:00,1.32,5.55,32.4,0,4,0,14671.0,105526.01
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 01:00:00,0.99,6.21,33.4,0,3,0,14547.0,105526.98
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 02:00:00,0.99,6.78,31.5,0,3,0,14475.0,105527.93
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 03:00:00,91.97,6.2,33.3,1,4,1,14463.0,105619.91
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 04:00:00,83.83,5.28,32.5,1,5,0,14435.0,105703.79
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 05:00:00,81.32,4.26,31.9,1,5,0,14540.0,105785.13
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 06:00:00,71.42,3.17,29.9,1,4,0,14504.0,105856.6
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 07:00:00,1.65,3.75,28.8,0,5,0,14439.0,105858.29
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 08:00:00,2.97,4.29,26.1,0,9,0,14646.0,105861.21
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 09:00:00,16.43,5.23,25.6,0,9,1,14741.0,105877.63
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 10:00:00,70.59,4.26,24.7,1,9,0,14593.0,105948.22
WH-A003,高温鲜品冷库（老旧设备）,高温库,2026-05-04 11:00:00,69.83,3.11,22.8,1,6,0,14522.0,106018.05
