warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 00:00:00,0.84,-16.6,31.8,0,2,0,22725.0,101251.34
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 01:00:00,0.84,-15.57,31.5,0,2,0,22809.0,101252.2
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 02:00:00,1.26,-14.6,31.8,0,3,0,22640.0,101253.48
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 03:00:00,120.78,-17.88,32.9,1,2,0,22653.0,101374.27
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 04:00:00,18.16,-16.58,32.0,0,2,1,22733.0,101392.47
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 05:00:00,0.84,-15.62,30.5,0,2,0,22853.0,101393.34
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 06:00:00,123.91,-18.88,28.9,1,2,0,22810.0,101517.24
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 07:00:00,0.42,-18.12,26.6,0,1,0,22862.0,101517.68
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 08:00:00,1.26,-17.2,26.9,0,3,0,22831.0,101518.89
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 09:00:00,0.0,-16.37,24.8,0,0,0,22685.0,101518.9
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 10:00:00,111.74,-19.78,24.2,1,3,0,22790.0,101630.65
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 11:00:00,0.42,-19.08,21.5,0,1,0,22808.0,101631.08
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 12:00:00,18.14,-18.06,22.2,0,0,1,22825.0,101649.21
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 13:00:00,1.26,-17.31,20.5,0,3,0,22783.0,101650.47
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 14:00:00,0.0,-16.59,19.7,0,0,0,22880.0,101650.43
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 15:00:00,104.54,-20.08,20.4,1,1,0,22840.0,101754.93
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 16:00:00,0.0,-19.36,20.8,0,0,0,22743.0,101754.97
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 17:00:00,1.68,-18.5,22.1,0,4,0,22928.0,101756.64
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 18:00:00,0.0,-17.81,22.5,0,0,0,23027.0,101756.64
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 19:00:00,1.26,-17.02,25.0,0,3,0,22965.0,101757.93
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 20:00:00,18.74,-15.84,26.2,0,3,1,22644.0,101776.62
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 21:00:00,123.06,-19.19,27.4,1,2,0,22653.0,101899.73
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 22:00:00,0.0,-18.35,27.7,0,0,0,22555.0,101899.69
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 23:00:00,0.42,-17.41,30.7,0,1,0,22553.0,101900.07
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-01 23:00:00,0.42,-17.41,30.7,0,1,0,22553.0,101900.07
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 00:00:00,0.84,-16.49,31.5,0,2,0,22464.0,101900.88
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 01:00:00,0.0,-15.57,30.7,0,0,0,22451.0,101900.87
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 02:00:00,0.0,-14.67,32.5,0,0,0,22619.0,101900.84
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 03:00:00,113.06,-17.9,32.9,1,0,0,22596.0,102013.89
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 04:00:00,17.49,-16.49,31.2,0,3,1,22681.0,102031.37
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 05:00:00,0.42,-15.56,30.1,0,1,0,22707.0,102031.8
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 06:00:00,118.94,-18.77,28.9,1,3,0,22548.0,102150.72
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 07:00:00,113.53,-22.05,27.2,1,3,0,22567.0,102264.27
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 08:00:00,0.42,-21.23,25.5,0,1,0,22446.0,102264.71
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 09:00:00,1.26,-20.43,23.0,0,3,0,22412.0,102265.99
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 10:00:00,0.42,-19.61,22.8,0,1,0,22227.0,102266.41
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 11:00:00,2.1,-18.8,21.8,0,5,0,22398.0,102268.49
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 12:00:00,19.5,-17.64,20.1,0,4,1,22431.0,102288.0
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 13:00:00,1.26,-16.94,19.3,0,3,0,22607.0,102289.25
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 14:00:00,0.42,-16.28,18.5,0,1,0,22766.0,102289.63
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 15:00:00,111.34,-19.67,19.7,1,3,0,22555.0,102400.95
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 16:00:00,1.68,-18.88,19.8,0,4,0,22562.0,102402.59
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 17:00:00,1.26,-18.16,22.1,0,3,0,22554.0,102403.81
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 18:00:00,1.68,-17.39,22.4,0,4,0,22577.0,102405.47
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 19:00:00,1.26,-16.52,24.6,0,3,0,22659.0,102406.74
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 20:00:00,132.51,-19.46,25.0,1,3,1,22922.0,102539.22
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 21:00:00,1.26,-18.48,27.6,0,3,0,23053.0,102540.44
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 22:00:00,0.84,-17.71,27.8,1,2,0,23026.0,102541.27
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-02 23:00:00,1.26,-16.78,30.4,0,3,0,23070.0,102542.49
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 00:00:00,0.84,-15.85,30.7,0,2,0,22824.0,102543.33
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 01:00:00,0.0,-14.92,33.0,0,0,0,22753.0,102543.3
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 02:00:00,114.11,-18.25,30.7,1,0,0,22808.0,102657.41
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 03:00:00,0.84,-17.34,31.2,0,2,0,22717.0,102658.27
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 04:00:00,19.89,-16.01,31.5,0,3,1,22559.0,102678.18
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 05:00:00,1.26,-15.01,30.2,0,3,0,22427.0,102679.43
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 06:00:00,108.23,-18.38,28.3,1,2,0,22347.0,102787.63
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 07:00:00,122.17,-21.71,29.0,1,3,0,22413.0,102909.76
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 08:00:00,0.0,-20.89,26.9,0,0,0,22437.0,102909.76
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 09:00:00,0.0,-20.12,24.2,0,0,0,22348.0,102909.71
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 11:00:00,0.0,-18.63,23.0,0,0,0,22552.0,102911.01
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 12:00:00,17.59,-17.4,21.5,0,4,1,22477.0,102928.55
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 12:00:00,17.75,-17.4,21.5,0,4,1,22477.0,102928.55
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 13:00:00,1.26,-16.73,18.0,0,3,0,22390.0,102929.77
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 14:00:00,112.93,-20.23,19.0,1,1,0,22364.0,103042.69
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 15:00:00,1.68,-19.48,20.8,0,4,0,22393.0,103044.34
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 16:00:00,1.68,-18.65,21.1,0,4,0,22408.0,103046.06
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 17:00:00,1.26,-17.9,22.4,0,3,0,22412.0,103047.34
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 18:00:00,1.68,-17.11,22.5,0,4,0,22346.0,103049.05
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 19:00:00,0.0,-16.34,24.7,0,0,0,22432.0,103049.02
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 20:00:00,134.38,-19.35,26.0,1,1,1,22449.0,103183.39
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 21:00:00,0.42,-18.55,26.8,0,1,0,22238.0,103183.86
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 22:00:00,0.0,-17.71,29.4,0,0,0,22154.0,103183.88
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-03 23:00:00,1.26,-16.82,30.6,0,3,0,22216.0,103185.1
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-04 00:00:00,0.84,-15.92,32.0,0,2,0,22352.0,103185.93
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-04 01:00:00,0.84,-15.0,31.1,0,2,0,22495.0,103186.78
WH-B001,中温肉品冷库（运行良好）,中温库,2026-05-04 02:00:00,125.03,-18.3,30.2,1,2,0,22327.0,103311.81
