warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-C003,低温速冻冷库,低温库,2026-05-01 00:00:00,277.32,-37.89,33.6,1,1,0,12292.0,105221.81
WH-C003,低温速冻冷库,低温库,2026-05-01 01:00:00,1.8,-36.71,34.8,0,2,0,12404.0,105223.59
WH-C003,低温速冻冷库,低温库,2026-05-01 02:00:00,0.0,-35.57,34.5,0,0,0,12403.0,105223.59
WH-C003,低温速冻冷库,低温库,2026-05-01 03:00:00,1.8,-34.35,35.2,0,2,0,12317.0,105225.4
WH-C003,低温速冻冷库,低温库,2026-05-01 04:00:00,1.8,-33.17,34.0,0,2,0,12343.0,105227.21
WH-C003,低温速冻冷库,低温库,2026-05-01 05:00:00,0.0,-32.04,32.7,0,0,0,12354.0,105227.21
WH-C003,低温速冻冷库,低温库,2026-05-01 06:00:00,0.9,-30.95,31.5,0,1,0,12559.0,105228.14
WH-C003,低温速冻冷库,低温库,2026-05-01 07:00:00,1.8,-29.82,29.8,0,2,0,12370.0,105229.95
WH-C003,低温速冻冷库,低温库,2026-05-01 08:00:00,38.24,-28.41,27.1,0,0,1,12337.0,105268.17
WH-C003,低温速冻冷库,低温库,2026-05-01 09:00:00,287.4,-36.96,26.4,1,1,0,12270.0,105555.53
WH-C003,低温速冻冷库,低温库,2026-05-01 10:00:00,0.9,-35.96,25.6,0,1,0,12305.0,105556.4
WH-C003,低温速冻冷库,低温库,2026-05-01 11:00:00,0.0,-35.02,22.8,0,0,0,12502.0,105556.4
WH-C003,低温速冻冷库,低温库,2026-05-01 12:00:00,0.9,-34.09,21.4,0,1,0,12420.0,105557.27
WH-C003,低温速冻冷库,低温库,2026-05-01 13:00:00,0.0,-33.23,20.8,0,0,0,12266.0,105557.28
WH-C003,低温速冻冷库,低温库,2026-05-01 14:00:00,0.0,-32.34,20.3,0,0,0,12337.0,105557.31
WH-C003,低温速冻冷库,低温库,2026-05-01 15:00:00,0.0,-31.36,21.1,0,0,0,12490.0,105557.32
WH-C003,低温速冻冷库,低温库,2026-05-01 16:00:00,0.9,-30.45,21.7,0,1,0,12414.0,105558.19
WH-C003,低温速冻冷库,低温库,2026-05-01 17:00:00,2.7,-29.44,23.6,0,3,0,12389.0,105560.92
WH-C003,低温速冻冷库,低温库,2026-05-01 18:00:00,0.0,-28.46,23.8,0,0,0,12297.0,105560.9
WH-C003,低温速冻冷库,低温库,2026-05-01 19:00:00,248.14,-37.05,25.1,1,0,0,12416.0,105809.01
WH-C003,低温速冻冷库,低温库,2026-05-01 20:00:00,44.41,-35.45,27.9,0,8,1,12256.0,105853.41
WH-C003,低温速冻冷库,低温库,2026-05-01 21:00:00,0.0,-34.32,29.5,0,0,0,12250.0,105853.42
WH-C003,低温速冻冷库,低温库,2026-05-01 22:00:00,1.8,-33.2,31.6,0,2,0,12155.0,105855.24
WH-C003,低温速冻冷库,低温库,2026-05-01 23:00:00,1.8,-32.0,33.4,0,2,0,12310.0,105857.0
WH-C003,低温速冻冷库,低温库,2026-05-02 00:00:00,0.9,-30.77,34.6,0,1,0,12384.0,105857.85
WH-C003,低温速冻冷库,低温库,2026-05-02 01:00:00,0.0,-29.59,33.2,0,0,0,12464.0,105857.86
WH-C003,低温速冻冷库,低温库,2026-05-02 02:00:00,0.9,-28.45,33.9,0,1,0,12357.0,105858.72
WH-C003,低温速冻冷库,低温库,2026-05-02 03:00:00,1.8,-27.25,34.2,0,2,0,12300.0,105860.5
WH-C003,低温速冻冷库,低温库,2026-05-02 04:00:00,1.8,-26.07,34.8,0,2,0,12429.0,105862.28
WH-C003,低温速冻冷库,低温库,2026-05-02 05:00:00,268.05,-34.45,32.3,1,2,0,12587.0,106130.28
WH-C003,低温速冻冷库,低温库,2026-05-02 06:00:00,1.8,-33.3,31.6,0,2,0,12644.0,106132.11
WH-C003,低温速冻冷库,低温库,2026-05-02 07:00:00,40.78,-31.79,30.2,0,1,1,12604.0,106172.87
WH-C003,低温速冻冷库,低温库,2026-05-02 08:00:00,37.93,-30.37,26.8,0,1,1,12521.0,106210.76
WH-C003,低温速冻冷库,低温库,2026-05-02 09:00:00,0.0,-29.39,25.9,0,0,0,12410.0,106210.75
WH-C003,低温速冻冷库,低温库,2026-05-02 10:00:00,2.7,-28.37,23.3,0,3,0,12476.0,106213.41
WH-C003,低温速冻冷库,低温库,2026-05-02 11:00:00,279.76,-36.93,21.7,1,3,0,12376.0,106493.19
WH-C003,低温速冻冷库,低温库,2026-05-02 12:00:00,2.7,-35.95,21.5,0,3,0,12292.0,106495.86
WH-C003,低温速冻冷库,低温库,2026-05-02 13:00:00,6.3,-34.86,21.5,0,7,0,12120.0,106502.12
WH-C003,低温速冻冷库,低温库,2026-05-02 14:00:00,2.7,-33.89,20.4,0,3,0,12117.0,106504.8
WH-C003,低温速冻冷库,低温库,2026-05-02 15:00:00,2.7,-32.93,20.8,0,3,0,11995.0,106507.45
WH-C003,低温速冻冷库,低温库,2026-05-02 16:00:00,2.7,-31.84,23.2,0,3,0,11831.0,106510.15
WH-C003,低温速冻冷库,低温库,2026-05-02 17:00:00,0.9,-30.92,22.8,0,1,0,11835.0,106511.08
WH-C003,低温速冻冷库,低温库,2026-05-02 18:00:00,2.7,-29.93,23.9,0,3,0,11775.0,106513.79
WH-C003,低温速冻冷库,低温库,2026-05-02 19:00:00,0.0,-28.84,26.0,0,0,0,11726.0,106513.79
WH-C003,低温速冻冷库,低温库,2026-05-02 20:00:00,39.09,-27.37,27.1,0,2,1,11739.0,106552.93
WH-C003,低温速冻冷库,低温库,2026-05-02 21:00:00,260.27,-35.84,29.0,1,2,0,11821.0,106813.16
WH-C003,低温速冻冷库,低温库,2026-05-02 22:00:00,1.8,-34.78,29.5,0,2,0,11900.0,106814.99
WH-C003,低温速冻冷库,低温库,2026-05-02 23:00:00,1.8,-33.63,32.1,0,2,0,11983.0,106816.81
WH-C003,低温速冻冷库,低温库,2026-05-03 00:00:00,0.0,-32.49,34.8,0,0,0,12128.0,106816.77
WH-C003,低温速冻冷库,低温库,2026-05-03 01:00:00,1.8,-31.19,35.4,0,2,0,12037.0,106818.61
WH-C003,低温速冻冷库,低温库,2026-05-03 03:00:00,3.6,-28.71,35.0,0,4,0,12080.0,106824.0
WH-C003,低温速冻冷库,低温库,2026-05-03 04:00:00,1.8,-27.53,32.3,0,2,0,12107.0,106825.75
WH-C003,低温速冻冷库,低温库,2026-05-03 05:00:00,0.9,-26.43,33.1,0,1,0,11750.0,106826.7
WH-C003,低温速冻冷库,低温库,2026-05-03 06:00:00,290.83,-34.88,30.9,1,0,0,11785.0,107117.55
WH-C003,低温速冻冷库,低温库,2026-05-03 07:00:00,0.0,-33.85,29.7,0,0,0,11861.0,107117.52
WH-C003,低温速冻冷库,低温库,2026-05-03 08:00:00,40.01,-32.38,28.5,0,0,1,11918.0,107157.53
WH-C003,低温速冻冷库,低温库,2026-05-03 09:00:00,0.9,-31.33,26.0,0,1,0,12138.0,107158.42
WH-C003,低温速冻冷库,低温库,2026-05-03 10:00:00,0.0,-30.34,23.7,0,0,0,12168.0,107158.38
WH-C003,低温速冻冷库,低温库,2026-05-03 11:00:00,0.9,-29.36,22.6,0,1,0,12299.0,107159.28
WH-C003,低温速冻冷库,低温库,2026-05-03 12:00:00,2.7,-28.41,20.1,0,3,0,12334.0,107161.96
WH-C003,低温速冻冷库,低温库,2026-05-03 13:00:00,247.84,-36.97,21.7,1,3,0,12448.0,107409.8
WH-C003,低温速冻冷库,低温库,2026-05-03 14:00:00,2.7,-35.95,22.3,0,3,0,12426.0,107412.54
WH-C003,低温速冻冷库,低温库,2026-05-03 15:00:00,0.9,-34.96,21.9,0,1,0,12415.0,107413.39
WH-C003,低温速冻冷库,低温库,2026-05-03 16:00:00,2.7,-34.03,21.5,0,3,0,12364.0,107416.07
WH-C003,低温速冻冷库,低温库,2026-05-03 17:00:00,0.0,-33.02,23.2,0,0,0,12403.0,107416.1
WH-C003,低温速冻冷库,低温库,2026-05-03 18:00:00,0.0,-32.08,25.1,0,0,0,12369.0,107416.12
WH-C003,低温速冻冷库,低温库,2026-05-03 19:00:00,0.9,-31.01,26.5,0,1,0,12502.0,107417.01
WH-C003,低温速冻冷库,低温库,2026-05-03 20:00:00,40.23,-29.57,28.9,0,0,1,-100.0,107457.29
WH-C003,低温速冻冷库,低温库,2026-05-03 21:00:00,1.8,-28.47,29.2,0,2,0,12470.0,107459.07
WH-C003,低温速冻冷库,低温库,2026-05-03 22:00:00,1.8,-27.32,31.7,0,2,0,12454.0,107460.83
WH-C003,低温速冻冷库,低温库,2026-05-03 23:00:00,0.9,-26.18,32.3,0,1,0,12567.0,107461.76
WH-C003,低温速冻冷库,低温库,2026-05-04 00:00:00,285.84,-34.64,33.9,1,0,0,12478.0,107747.56
WH-C003,低温速冻冷库,低温库,2026-05-04 01:00:00,0.9,-33.5,35.8,0,1,0,12544.0,107748.46
WH-C003,低温速冻冷库,低温库,2026-05-04 02:00:00,3.6,-32.24,35.6,0,4,0,12655.0,107752.05
WH-C003,低温速冻冷库,低温库,2026-05-04 03:00:00,1.8,-31.07,36.0,0,2,0,12681.0,107753.81
WH-C003,低温速冻冷库,低温库,2026-05-04 04:00:00,0.0,-29.93,34.4,0,0,0,12710.0,107753.82
WH-C003,低温速冻冷库,低温库,2026-05-04 05:00:00,0.9,-28.73,33.4,0,1,0,12510.0,107754.75
WH-C003,低温速冻冷库,低温库,2026-05-04 06:00:00,0.0,-27.64,30.8,0,0,0,12392.0,107754.77
WH-C003,低温速冻冷库,低温库,2026-05-04 07:00:00,294.23,-36.15,30.2,1,0,0,12412.0,108049.03
WH-C003,低温速冻冷库,低温库,2026-05-04 08:00:00,34.08,-34.72,27.6,0,0,1,12276.0,108083.11
WH-C003,低温速冻冷库,低温库,2026-05-04 09:00:00,0.9,-33.64,27.0,0,1,0,12275.0,108083.96
WH-C003,低温速冻冷库,低温库,2026-05-04 10:00:00,0.9,-32.63,25.7,0,1,0,12205.0,108084.91
WH-C003,低温速冻冷库,低温库,2026-05-04 11:00:00,0.0,-31.71,24.8,0,0,0,12378.0,108084.89
WH-C003,低温速冻冷库,低温库,2026-05-04 12:00:00,2.7,-30.67,22.2,0,3,0,12378.0,108087.62
WH-C003,低温速冻冷库,低温库,2026-05-04 13:00:00,0.0,-29.79,20.6,0,0,0,12277.0,108087.61
WH-C003,低温速冻冷库,低温库,2026-05-04 14:00:00,2.7,-28.87,20.5,0,3,0,12375.0,108090.3
WH-C003,低温速冻冷库,低温库,2026-05-04 15:00:00,0.0,-27.92,20.7,0,0,0,12161.0,108090.3
WH-C003,低温速冻冷库,低温库,2026-05-04 16:00:00,283.92,-36.54,23.0,1,0,0,12121.0,108374.25
WH-C003,低温速冻冷库,低温库,2026-05-04 17:00:00,2.7,-35.5,23.4,0,3,0,12298.0,108376.92
WH-C003,低温速冻冷库,低温库,2026-05-04 18:00:00,0.9,-34.55,23.9,0,1,0,12104.0,108377.86
WH-C003,低温速冻冷库,低温库,2026-05-04 19:00:00,1.85,-33.49,26.2,0,2,0,12025.0,108379.64
WH-C003,低温速冻冷库,低温库,2026-05-04 19:00:00,1.8,-33.49,26.2,0,2,0,12025.0,108379.64
WH-C003,低温速冻冷库,低温库,2026-05-04 20:00:00,38.33,-32.1,27.6,0,0,1,11898.0,108417.95
WH-C003,低温速冻冷库,低温库,2026-05-04 21:00:00,0.0,-30.93,31.1,0,0,0,12005.0,108417.92
WH-C003,低温速冻冷库,低温库,2026-05-04 22:00:00,1.8,-29.73,31.9,0,2,0,11953.0,108419.74
WH-C003,低温速冻冷库,低温库,2026-05-04 23:00:00,0.0,-28.6,32.9,0,0,0,11980.0,108419.73
WH-C003,低温速冻冷库,低温库,2026-05-05 00:00:00,0.0,-27.47,31.7,0,0,0,12172.0,108419.74
WH-C003,低温速冻冷库,低温库,2026-05-05 01:00:00,0.0,-26.29,35.0,0,0,0,12165.0,108419.75
WH-C003,低温速冻冷库,低温库,2026-05-05 02:00:00,307.42,-34.74,34.5,1,0,0,12239.0,108727.21
WH-C003,低温速冻冷库,低温库,2026-05-05 03:00:00,1.8,-33.54,34.9,0,2,0,12306.0,108728.98
WH-C003,低温速冻冷库,低温库,2026-05-05 04:00:00,0.0,-32.42,34.4,0,0,0,12187.0,108729.02
WH-C003,低温速冻冷库,低温库,2026-05-05 05:00:00,0.9,-31.34,33.1,0,1,0,12269.0,108729.87
WH-C003,低温速冻冷库,低温库,2026-05-05 06:00:00,0.9,-30.22,31.9,0,1,0,12204.0,108498.84160368913
WH-C003,低温速冻冷库,低温库,2026-05-05 07:00:00,1.8,-29.08,28.7,0,2,0,12102.0,108732.63
WH-C003,低温速冻冷库,低温库,2026-05-05 08:00:00,35.85,-27.62,28.0,0,1,1,12056.0,108768.49
WH-C003,低温速冻冷库,低温库,2026-05-05 09:00:00,276.74,-36.11,26.6,1,3,0,12108.0,109045.21
WH-C003,低温速冻冷库,低温库,2026-05-05 10:00:00,0.9,-35.07,25.4,0,1,0,12225.0,109046.13
WH-C003,低温速冻冷库,低温库,2026-05-05 11:00:00,2.7,-34.05,23.1,0,3,0,12304.0,109048.79
WH-C003,低温速冻冷库,低温库,2026-05-05 12:00:00,0.0,-33.14,22.8,0,0,0,12412.0,109048.75
WH-C003,低温速冻冷库,低温库,2026-05-05 13:00:00,2.7,-32.13,20.4,0,3,0,12328.0,109051.5
WH-C003,低温速冻冷库,低温库,2026-05-05 14:00:00,0.0,-31.22,19.7,0,0,0,12375.0,109051.52
WH-C003,低温速冻冷库,低温库,2026-05-05 15:00:00,0.9,-30.31,22.2,0,1,0,12397.0,109052.44
