warehouse_id,warehouse_name,warehouse_type,timestamp,power_kwh,temp_celsius,ambient_temp,compressor_status,door_open_count,defrost_status,inventory_kg,meter_reading
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 00:00:00,0.54,1.05,30.2,0,2,0,14658.0,103821.01
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 01:00:00,0.54,1.62,31.1,0,2,0,14484.0,103821.53
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 02:00:00,13.06,2.64,30.4,0,3,1,14381.0,103834.54
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 03:00:00,65.27,0.62,30.0,1,2,0,14359.0,103899.79
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 04:00:00,1.08,1.27,29.1,0,4,0,14387.0,103900.82
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 05:00:00,0.27,1.77,29.2,0,1,0,14481.0,103901.12
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 06:00:00,61.89,-0.37,27.9,1,2,0,14375.0,103963.04
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 07:00:00,63.52,-2.4,26.2,1,5,0,14267.0,104026.54
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 08:00:00,1.08,-1.89,25.7,0,4,0,14039.0,104027.61
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 09:00:00,13.18,-0.93,22.5,0,7,1,13983.0,104040.8
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 10:00:00,12.28,0.06,22.3,0,7,1,13912.0,104053.11
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 11:00:00,0.27,0.42,19.6,0,1,0,14061.0,104053.34
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 12:00:00,1.89,0.99,20.6,0,7,0,13997.0,104055.26
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 13:00:00,57.85,-1.22,19.2,1,3,0,13999.0,104113.15
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 14:00:00,1.89,-0.75,18.7,0,7,0,13888.0,104115.03
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 15:00:00,1.89,-0.27,19.5,0,7,0,13791.0,104116.95
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 16:00:00,1.08,0.23,21.2,0,4,0,13749.0,104118.08
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 17:00:00,1.89,0.82,20.7,0,7,0,13599.0,104119.96
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 18:00:00,74.83,-1.06,22.0,1,1,1,13442.0,104194.79
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 19:00:00,0.54,-0.59,24.6,0,2,0,13401.0,104195.29
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 20:00:00,0.54,-0.11,24.9,0,2,0,13523.0,104195.79
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 21:00:00,0.27,0.46,28.2,0,1,0,13539.0,104196.06
WH-D004,恒温保鲜冷库,恒温库,2026-05-01 22:00:00,0.81,1.0,28.1,0,3,0,13534.0,104196.84
